,Hand Types,Hand Frequency
0,22,0.452
1,33,0.4526
2,44,0.4521
3,55,0.4517
4,66,0.452
5,77,0.4533
6,88,0.4514
7,99,0.4526
8,TT,0.4541
9,JJ,0.4517
10,QQ,0.4511
11,KK,0.4521
12,AA,0.4518
13,32o,0.9072
14,32s,0.2991
15,42o,0.903
16,42s,0.301
17,43o,0.9046
18,43s,0.2997
19,52o,0.9039
20,52s,0.3014
21,53o,0.9046
22,53s,0.3006
23,54o,0.9076
24,54s,0.3016
25,62o,0.9063
26,62s,0.3017
27,63o,0.9068
28,63s,0.3018
29,64o,0.9051
30,64s,0.3006
31,65o,0.9046
32,65s,0.3028
33,72o,0.9053
34,72s,0.3029
35,73o,0.9045
36,73s,0.3019
37,74o,0.9063
38,74s,0.3009
39,75o,0.9071
40,75s,0.3013
41,76o,0.904
42,76s,0.3032
43,82o,0.903
44,82s,0.3021
45,83o,0.9052
46,83s,0.3011
47,84o,0.9051
48,84s,0.3014
49,85o,0.9031
50,85s,0.3012
51,86o,0.9035
52,86s,0.3021
53,87o,0.904
54,87s,0.3018
55,92o,0.9052
56,92s,0.3014
57,93o,0.9054
58,93s,0.3017
59,94o,0.9053
60,94s,0.3031
61,95o,0.9046
62,95s,0.3021
63,96o,0.9065
64,96s,0.3003
65,97o,0.9046
66,97s,0.3025
67,98o,0.9049
68,98s,0.3016
69,T2o,0.9052
70,T2s,0.301
71,T3o,0.9059
72,T3s,0.3014
73,T4o,0.9056
74,T4s,0.302
75,T5o,0.9037
76,T5s,0.3015
77,T6o,0.9043
78,T6s,0.3012
79,T7o,0.9042
80,T7s,0.3025
81,T8o,0.9044
82,T8s,0.3018
83,T9o,0.9053
84,T9s,0.3016
85,J2o,0.9054
86,J2s,0.301
87,J3o,0.9064
88,J3s,0.3032
89,J4o,0.9037
90,J4s,0.3035
91,J5o,0.906
92,J5s,0.3014
93,J6o,0.9051
94,J6s,0.3034
95,J7o,0.9047
96,J7s,0.3023
97,J8o,0.9042
98,J8s,0.3014
99,J9o,0.9056
100,J9s,0.3012
101,JTo,0.9054
102,JTs,0.3026
103,Q2o,0.9054
104,Q2s,0.3022
105,Q3o,0.9041
106,Q3s,0.3015
107,Q4o,0.9064
108,Q4s,0.3012
109,Q5o,0.9062
110,Q5s,0.3027
111,Q6o,0.9032
112,Q6s,0.3022
113,Q7o,0.9056
114,Q7s,0.3016
115,Q8o,0.9042
116,Q8s,0.302
117,Q9o,0.9051
118,Q9s,0.3017
119,QTo,0.9054
120,QTs,0.3023
121,QJo,0.9055
122,QJs,0.3014
123,K2o,0.906
124,K2s,0.3002
125,K3o,0.9062
126,K3s,0.3018
127,K4o,0.9054
128,K4s,0.3011
129,K5o,0.9053
130,K5s,0.3029
131,K6o,0.9051
132,K6s,0.3001
133,K7o,0.9053
134,K7s,0.301
135,K8o,0.9051
136,K8s,0.3015
137,K9o,0.906
138,K9s,0.302
139,KTo,0.9032
140,KTs,0.2993
141,KJo,0.9047
142,KJs,0.302
143,KQo,0.9039
144,KQs,0.3015
145,A2o,0.9074
146,A2s,0.3019
147,A3o,0.9066
148,A3s,0.301
149,A4o,0.9037
150,A4s,0.302
151,A5o,0.902
152,A5s,0.3011
153,A6o,0.9024
154,A6s,0.3029
155,A7o,0.9055
156,A7s,0.3007
157,A8o,0.9037
158,A8s,0.3027
159,A9o,0.9055
160,A9s,0.3007
161,ATo,0.9057
162,ATs,0.3005
163,AJo,0.9052
164,AJs,0.3018
165,AQo,0.9069
166,AQs,0.3034
167,AKo,0.9054
168,AKs,0.3011
